Flow In,Flow Out,Efficiency,Longest Wait,Total Wait,0,1,2,3,4,5,6,7
51,51,100.0,0.0,0,51,51,12,12,39,39,39,51
51,46,90.196,72.973,1350,51,51,14,14,37,32,32,46
56,55,98.214,8.571,240,56,56,14,14,42,42,42,55
52,51,98.077,11.429,240,52,52,10,10,42,41,41,51
46,46,100.0,0.0,0,46,46,6,6,40,40,40,46
57,45,78.947,165.729,3812,57,57,11,11,46,34,34,45
49,49,100.0,0.0,0,49,49,17,17,32,32,32,49
54,44,81.481,126.97,2984,54,54,7,7,47,37,37,44
42,42,100.0,0.0,0,42,42,8,8,34,34,34,42
58,53,91.379,130.152,1392,58,58,19,15,39,39,39,53
50,50,100.0,0.0,0,50,50,12,12,38,38,38,50
50,47,94.0,112.0,840,50,50,15,12,35,35,35,47
42,42,100.0,0.0,0,42,42,9,9,33,33,33,42
52,46,88.462,80.279,1646,52,52,11,11,41,35,35,46
50,43,86.0,96.413,1976,50,50,9,9,41,34,34,43
54,53,98.148,34.286,240,54,54,14,13,40,40,40,53
39,39,100.0,0.0,0,39,39,8,8,31,31,31,39
45,45,100.0,0.0,0,45,45,12,12,33,33,33,45
46,46,100.0,0.0,0,46,46,10,10,36,36,36,46
46,44,95.652,121.905,549,46,46,9,7,37,37,37,44
60,52,86.667,101.477,2283,60,60,15,15,45,37,37,52
49,48,97.959,12.0,240,49,49,9,9,40,39,39,48
52,48,92.308,69.412,990,52,52,12,11,40,40,40,48
46,46,100.0,0.0,0,46,46,13,13,33,33,33,46
50,50,100.0,0.0,0,50,50,10,10,40,40,40,50
56,43,76.786,190.667,4290,56,56,11,11,45,32,32,43
51,47,92.157,56.609,1047,51,51,14,14,37,33,33,47
52,50,96.154,24.632,493,52,52,12,12,40,38,38,50
53,52,98.113,12.0,240,53,53,13,13,40,39,39,52
62,48,77.419,188.082,4608,62,62,13,13,49,35,35,48
53,53,100.0,0.0,0,53,53,12,12,41,41,41,53
47,47,100.0,0.0,0,47,47,10,10,37,37,37,47
55,45,81.818,137.968,3035,55,55,11,11,44,34,34,45
58,55,94.828,36.044,757,58,58,16,16,42,39,39,55
54,44,81.481,126.97,2984,54,54,7,7,47,37,37,44
56,52,92.857,46.909,1032,56,56,12,12,44,40,40,52
48,43,89.583,247.619,1733,48,48,14,9,34,34,34,43
51,39,76.471,174.359,3637,51,51,18,13,33,26,26,39
44,44,100.0,0.0,0,44,44,5,5,39,39,39,44
50,48,96.0,24.632,493,50,50,10,10,40,38,38,48
42,42,100.0,0.0,0,42,42,12,12,30,30,30,42
56,42,75.0,193.529,4645,56,56,8,8,48,34,34,42
48,48,100.0,0.0,0,48,48,10,10,38,38,38,48
42,42,100.0,0.0,0,42,42,4,4,38,38,38,42
35,35,100.0,0.0,0,35,35,5,5,30,30,30,35
47,45,95.745,27.451,494,47,47,11,11,36,34,34,45
