Flow In,Flow Out,Efficiency,Longest Wait,Total Wait,0,1,2,3,4,5,6,7,8
50,50,100.0,0.0,0,50,50,12,12,38,38,38,50,0
59,54,91.525,58.667,1320,59,59,14,14,45,40,40,54,0
54,54,100.0,85.263,810,54,54,19,7,35,35,35,42,12
50,49,98.0,12.0,240,50,50,10,10,40,39,39,49,0
50,50,100.0,0.0,0,50,50,13,13,37,37,37,50,0
48,48,100.0,0.0,0,48,48,15,15,33,33,33,48,0
46,46,100.0,0.0,0,46,46,16,16,30,30,30,46,0
49,49,100.0,0.0,0,49,49,12,12,37,37,37,49,0
58,58,100.0,0.0,0,58,58,16,16,42,42,42,58,0
42,39,92.857,42.424,764,42,42,6,6,36,33,33,39,0
47,47,100.0,0.0,0,47,47,12,12,35,35,35,47,0
43,43,100.0,0.0,0,43,43,11,11,32,32,32,43,0
60,52,86.667,298.667,4523,60,60,15,2,45,37,37,39,13
54,53,98.148,26.667,240,54,54,18,17,36,36,36,53,0
49,49,100.0,0.0,0,49,49,16,16,33,33,33,49,0
57,57,100.0,34.286,240,57,57,14,12,43,43,43,55,2
50,50,100.0,0.0,0,50,50,11,11,39,39,39,50,0
47,47,100.0,0.0,0,47,47,15,15,32,32,32,47,0
59,59,100.0,0.0,0,59,59,10,10,49,49,49,59,0
57,52,91.228,166.607,2444,57,52,19,5,33,33,33,38,14
52,52,100.0,0.0,0,52,52,10,10,42,42,42,52,0
50,50,100.0,0.0,0,50,50,10,10,40,40,40,50,0
58,52,89.655,66.321,1557,58,58,12,12,46,41,41,52,0
44,43,97.727,10.909,240,44,44,16,16,28,28,28,43,0
33,33,100.0,0.0,0,33,33,7,7,26,26,26,33,0
42,42,100.0,0.0,0,42,42,6,6,36,36,36,42,0
48,48,100.0,0.0,0,48,48,13,13,35,35,35,48,0
43,40,93.023,45.085,766,43,43,9,9,34,31,31,40,0
47,36,76.596,183.736,3583,47,47,8,8,39,28,28,36,0
47,47,100.0,0.0,0,47,47,9,9,38,38,38,47,0
54,54,100.0,0.0,0,54,54,12,12,42,42,42,54,0
51,43,84.314,110.252,2315,51,51,9,9,42,34,34,43,0
60,51,85.0,111.265,2615,60,60,13,13,47,38,38,51,0
49,49,100.0,0.0,0,49,49,13,13,36,36,36,49,0
59,53,89.831,70.435,1860,59,59,13,10,46,40,40,50,3
55,47,85.455,107.163,2304,55,55,12,12,43,35,35,47,0
41,41,100.0,0.0,0,41,41,9,9,32,32,32,41,0
54,54,100.0,178.286,1248,54,54,14,3,40,40,40,43,11
44,44,100.0,0.0,0,44,44,11,11,33,33,33,44,0
48,48,100.0,0.0,0,48,48,15,15,33,33,33,48,0
58,55,94.828,35.163,756,58,58,15,15,43,40,40,55,0
45,45,100.0,0.0,0,45,45,13,13,32,32,32,45,0
42,42,100.0,0.0,0,42,42,11,11,31,31,31,42,0
45,45,100.0,0.0,0,45,45,11,11,34,34,34,45,0
58,53,91.379,44.502,1291,58,53,11,11,42,42,42,53,0
59,45,76.271,147.067,4174,59,46,11,11,35,34,34,45,0
36,36,100.0,0.0,0,36,36,7,7,29,29,29,36,0
50,49,98.0,9.6,240,50,49,13,13,36,36,36,49,0
52,49,94.231,36.044,757,52,52,10,10,42,39,39,49,0
45,37,82.222,128.835,2383,45,45,8,8,37,29,29,37,0
42,41,97.619,13.333,240,42,42,6,6,36,35,35,41,0
40,40,100.0,0.0,0,40,40,11,11,29,29,29,40,0
48,44,91.667,56.609,1047,48,48,11,11,37,33,33,44,0
41,41,100.0,0.0,0,41,41,11,11,30,30,30,41,0
47,47,100.0,0.0,0,47,47,15,15,32,32,32,47,0
56,52,92.857,46.909,1032,56,56,12,12,44,40,40,52,0
59,51,86.441,84.976,2065,59,59,13,13,46,41,41,51,0
42,42,100.0,0.0,0,42,42,13,13,29,29,29,42,0
58,55,94.828,32.031,753,58,58,11,11,47,44,44,55,0
48,48,100.0,0.0,0,48,48,11,11,37,37,37,48,0
68,56,82.353,104.412,3264,68,58,15,15,43,41,41,56,0
51,43,84.314,124.632,2368,51,51,13,13,38,30,30,43,0
36,36,100.0,0.0,0,36,36,6,6,30,30,30,36,0
45,42,93.333,112.0,1613,45,45,15,4,30,27,27,31,11
46,46,100.0,0.0,0,46,46,10,10,36,36,36,46,0
45,45,100.0,0.0,0,45,45,13,13,32,32,32,45,0
43,43,100.0,0.0,0,43,43,10,10,33,33,33,43,0
47,47,100.0,0.0,0,47,47,9,9,38,38,38,47,0
46,46,100.0,0.0,0,46,46,10,10,36,36,36,46,0
49,49,100.0,0.0,0,49,49,11,11,38,38,38,49,0
47,47,100.0,34.286,240,47,47,14,12,33,33,33,45,2
51,51,100.0,0.0,0,51,51,9,9,42,42,42,51,0
41,41,100.0,0.0,0,41,41,12,12,29,29,29,41,0
54,43,79.63,156.364,3440,54,54,10,10,44,33,33,43,0
54,54,100.0,0.0,0,54,54,9,9,45,45,45,54,0
47,47,100.0,196.923,1280,47,47,13,2,34,34,34,36,11
51,51,100.0,0.0,0,51,51,8,8,43,43,43,51,0
44,38,86.364,93.333,1680,44,44,8,8,36,30,30,38,0
54,49,90.741,61.689,1566,54,54,11,7,43,38,38,45,4
50,50,100.0,0.0,0,50,50,9,9,41,41,41,50,0
65,49,75.385,196.72,4819,65,61,15,15,46,34,34,49,0
61,60,98.361,10.435,240,61,61,15,15,46,45,45,60,0
54,54,100.0,0.0,0,54,54,11,11,43,43,43,54,0
42,42,100.0,0.0,0,42,42,7,7,35,35,35,42,0
