Flow In,Flow Out,Efficiency,Longest Wait,Total Wait
46,43,93.478,42.353,762
42,42,100.0,0.0,0
40,40,100.0,0.0,0
50,50,100.0,0.0,0
48,43,89.583,61.538,1323
67,63,94.03,228.811,2987
36,36,100.0,0.0,0
69,56,81.159,138.667,3952
41,41,100.0,0.0,0
49,42,85.714,115.862,2028
53,45,84.906,112.941,2315
42,42,100.0,0.0,0
58,47,81.034,112.34,3202
53,53,100.0,440.0,4840
52,52,100.0,0.0,0
55,55,100.0,0.0,0
46,46,100.0,0.0,0
39,39,100.0,0.0,0
48,48,100.0,0.0,0
55,41,74.545,163.902,4425
44,44,100.0,0.0,0
61,46,75.41,218.182,5127
59,59,100.0,200.0,1600
51,49,96.078,28.235,494
54,54,100.0,68.571,514
54,54,100.0,48.0,240
39,39,100.0,0.0,0
49,40,81.633,148.966,2756
46,46,100.0,480.0,2640
55,54,98.182,8.889,240
46,46,100.0,0.0,0
50,47,94.0,40.0,760
50,46,92.0,61.935,1053
42,42,100.0,0.0,0
53,37,69.811,243.972,5160
50,50,100.0,0.0,0
58,52,89.655,72.0,1620
58,44,75.862,196.504,4238
55,50,90.909,68.571,1577
39,39,100.0,0.0,0
63,49,77.778,197.647,5485
47,47,100.0,0.0,0
51,51,100.0,0.0,0
50,48,96.0,26.667,493
54,44,81.481,165.517,3145
44,44,100.0,0.0,0
51,51,100.0,0.0,0
57,56,98.246,12.308,240
44,44,100.0,0.0,0
43,43,100.0,0.0,0
52,52,100.0,0.0,0
48,44,91.667,43.636,1025
53,53,100.0,0.0,0
43,43,100.0,0.0,0
51,48,94.118,37.895,758
51,51,100.0,0.0,0
63,50,79.365,160.0,4080
53,53,100.0,43.636,240
61,57,93.443,54.828,985
42,42,100.0,0.0,0
59,59,100.0,40.0,240
54,50,92.593,54.857,1042
48,48,100.0,0.0,0
48,48,100.0,0.0,0
60,59,98.333,80.0,760
60,53,88.333,81.951,1926
53,45,84.906,128.0,2368
52,52,100.0,436.364,4364
47,46,97.872,14.545,240
53,51,96.226,24.0,492
49,44,89.796,66.667,1333
44,44,100.0,0.0,0
53,53,100.0,0.0,0
42,42,100.0,0.0,0
52,49,94.231,41.143,761
58,51,87.931,176.652,2708
51,51,100.0,0.0,0
51,51,100.0,0.0,0
40,40,100.0,0.0,0
52,52,100.0,96.0,816
49,49,100.0,0.0,0
44,44,100.0,0.0,0
36,36,100.0,0.0,0
50,42,84.0,132.414,2383
55,55,100.0,240.0,1680
34,34,100.0,0.0,0
58,51,87.931,80.301,1815
43,43,100.0,0.0,0
45,45,100.0,0.0,0
54,54,100.0,43.636,240
46,46,100.0,0.0,0
48,36,75.0,160.0,3760
56,54,96.429,25.946,493
43,43,100.0,0.0,0
42,42,100.0,0.0,0
60,59,98.333,30.0,240
40,40,100.0,0.0,0
54,34,62.963,288.945,6079
57,57,100.0,0.0,0
52,37,71.154,300.0,5700
50,50,100.0,0.0,0
39,39,100.0,0.0,0
49,49,100.0,0.0,0
50,50,100.0,174.545,1222
50,50,100.0,0.0,0
61,48,78.689,164.211,4105
43,43,100.0,0.0,0
59,59,100.0,0.0,0
41,41,100.0,0.0,0
52,51,98.077,13.333,240
45,45,100.0,0.0,0
56,54,96.429,22.326,491
50,46,92.0,54.857,1042
52,51,98.077,11.163,240
46,46,100.0,0.0,0
43,43,100.0,0.0,0
45,45,100.0,0.0,0
50,50,100.0,480.0,3600
47,47,100.0,0.0,0
52,52,100.0,96.0,528
60,56,93.333,34.286,1011
57,45,78.947,180.0,3870
57,52,91.228,46.154,1292
44,43,97.727,14.545,240
55,53,96.364,24.0,492
47,47,100.0,0.0,0
50,50,100.0,0.0,0
63,54,85.714,77.778,2349
49,49,100.0,0.0,0
46,46,100.0,0.0,0
40,40,100.0,0.0,0
53,53,100.0,0.0,0
50,50,100.0,0.0,0
57,55,96.491,24.615,492
54,49,90.741,64.865,1330
51,45,88.235,87.273,1658
48,48,100.0,0.0,0
46,46,100.0,0.0,0
59,59,100.0,0.0,0
41,41,100.0,40.0,240
41,41,100.0,0.0,0
51,51,100.0,0.0,0
57,52,91.228,213.333,2603
56,46,82.143,150.0,3315
40,40,100.0,0.0,0
52,49,94.231,89.412,1254
39,39,100.0,0.0,0
54,44,81.481,141.176,3035
45,45,100.0,0.0,0
57,57,100.0,0.0,0
50,47,94.0,36.0,756
48,43,89.583,160.0,2235
43,43,100.0,320.0,2240
46,35,76.087,188.571,3583
48,42,87.5,92.903,1672
54,54,100.0,0.0,0
44,44,100.0,0.0,0
43,42,97.674,13.333,240
44,44,100.0,0.0,0
55,55,100.0,0.0,0
46,46,100.0,0.0,0
54,39,72.222,313.043,5791
42,42,100.0,0.0,0
57,52,91.228,66.667,1333
55,45,81.818,154.839,3097
54,54,100.0,0.0,0
54,52,96.296,24.0,492
60,44,73.333,191.057,4509
42,42,100.0,0.0,0
48,48,100.0,0.0,0
47,47,100.0,0.0,0
47,46,97.872,13.333,240
56,52,92.857,41.231,973
53,46,86.792,108.387,2005
54,51,94.444,35.122,755
37,37,100.0,0.0,0
57,43,75.439,216.774,4769
57,50,87.719,86.154,2178
39,39,100.0,0.0,0
60,56,93.333,46.829,1030
49,49,100.0,0.0,0
49,49,100.0,0.0,0
47,44,93.617,45.0,765
51,49,96.078,19.592,490
44,44,100.0,0.0,0
54,51,94.444,37.895,758
59,59,100.0,120.0,840
57,46,80.702,114.783,3214
65,48,73.846,198.278,5356
45,45,100.0,0.0,0
44,44,100.0,0.0,0
45,45,100.0,0.0,0
46,46,100.0,0.0,0
58,53,91.379,64.865,1330
52,50,96.154,26.667,493
42,42,100.0,53.333,240
47,47,100.0,0.0,0
46,46,100.0,174.545,1222
48,48,100.0,0.0,0
42,42,100.0,266.667,1733
44,44,100.0,0.0,0
47,47,100.0,0.0,0
51,46,90.196,60.0,1320
62,49,79.032,664.407,7922
50,50,100.0,373.333,2800
60,47,78.333,164.211,4105
58,49,84.483,98.616,2331
52,51,98.077,12.973,240
59,57,96.61,480.0,4572
48,48,100.0,48.0,240
54,54,100.0,43.636,240
50,50,100.0,0.0,0
55,54,98.182,12.632,240
50,35,70.0,257.143,5400
44,44,100.0,0.0,0
45,45,100.0,0.0,0
49,49,100.0,0.0,0
59,50,84.746,110.769,2603
59,59,100.0,0.0,0
50,50,100.0,34.286,240
48,48,100.0,0.0,0
50,49,98.0,30.0,240
52,49,94.231,41.143,761
68,57,83.824,122.791,3254
50,50,100.0,300.0,1800
44,44,100.0,548.571,3840
55,40,72.727,180.0,4860
58,51,87.931,88.421,1945
65,56,86.154,77.143,2469
53,45,84.906,106.667,2293
51,51,100.0,0.0,0
40,40,100.0,213.333,1280
57,57,100.0,533.333,4800
54,52,96.296,25.263,493
51,42,82.353,130.909,2684
53,43,81.132,141.176,3035
59,50,84.746,102.857,2571
40,40,100.0,0.0,0
58,57,98.276,42.857,480
40,40,100.0,0.0,0
56,53,94.643,110.769,1590
53,53,100.0,0.0,0
52,52,100.0,120.0,840
54,54,100.0,349.091,3142
55,48,87.273,96.0,2492
54,49,90.741,75.0,1862
56,55,98.214,12.632,240
48,48,100.0,0.0,0
51,51,100.0,0.0,0
51,51,100.0,0.0,0
44,44,100.0,0.0,0
46,46,100.0,174.545,1222
61,57,93.443,33.684,1011
55,55,100.0,0.0,0
51,51,100.0,0.0,0
55,54,98.182,30.0,240
47,44,93.617,32.727,753
40,40,100.0,160.0,880
43,43,100.0,0.0,0
41,41,100.0,0.0,0
47,47,100.0,0.0,0
46,37,80.435,139.355,2717
50,50,100.0,0.0,0
47,39,82.979,147.692,2437
61,47,77.049,153.033,3819
49,34,69.388,276.923,5538
48,46,95.833,29.091,495
49,49,100.0,0.0,0
41,39,95.122,30.0,495
34,34,100.0,48.0,240
56,50,89.286,68.571,1611
50,37,74.0,231.111,4507
56,52,92.857,45.714,1029
57,57,100.0,0.0,0
66,52,78.788,186.667,5088
55,43,78.182,169.412,3812
46,46,100.0,0.0,0
58,51,87.931,86.154,1938
62,53,85.484,81.509,2486
46,46,100.0,0.0,0
60,54,90.0,63.492,1517
47,47,100.0,320.0,1440
53,53,100.0,0.0,0
49,41,83.673,132.414,2623
55,55,100.0,480.0,4080
50,50,100.0,0.0,0
40,40,100.0,0.0,0
48,48,100.0,0.0,0
44,41,93.182,42.353,762
51,48,94.118,37.895,758
44,39,88.636,77.419,1355
45,45,100.0,0.0,0
48,48,100.0,0.0,0
54,45,83.333,101.143,2351
58,58,100.0,392.727,3731
53,53,100.0,87.273,524
52,51,98.077,9.412,240
51,51,100.0,174.545,1222
56,56,100.0,0.0,0
51,51,100.0,43.636,240
55,55,100.0,0.0,0
49,49,100.0,43.636,240
59,50,84.746,113.684,2615
39,39,100.0,0.0,0
46,46,100.0,0.0,0
47,47,100.0,0.0,0
47,47,100.0,0.0,0
45,45,100.0,0.0,0
57,51,89.474,56.471,1581
53,49,92.453,48.0,1032
38,38,100.0,0.0,0
44,44,100.0,0.0,0
57,51,89.474,174.545,2862
36,36,100.0,0.0,0
52,43,82.692,120.0,2640
47,47,100.0,336.0,2688
40,40,100.0,0.0,0
43,43,100.0,0.0,0
49,49,100.0,0.0,0
40,40,100.0,0.0,0
58,44,75.862,210.0,4965
50,50,100.0,411.429,2469
32,32,100.0,0.0,0
58,48,82.759,120.0,2940
53,47,88.679,106.667,2173
54,53,98.148,12.308,240
66,59,89.394,128.0,3084
48,48,100.0,0.0,0
53,43,81.132,160.0,3120
44,44,100.0,0.0,0
40,40,100.0,0.0,0
47,47,100.0,43.636,240
45,45,100.0,0.0,0
50,44,88.0,87.273,1898
47,47,100.0,0.0,0
60,50,83.333,96.0,2832
36,36,100.0,0.0,0
39,39,100.0,0.0,0
59,58,98.305,73.846,757
59,54,91.525,50.015,1263
44,44,100.0,0.0,0
43,38,88.372,85.714,1371
51,51,100.0,0.0,0
45,45,100.0,0.0,0
49,47,95.918,160.0,1374
45,45,100.0,0.0,0
40,40,100.0,0.0,0
54,45,83.333,120.157,2467
64,64,100.0,200.0,1600
50,50,100.0,0.0,0
61,38,62.295,334.118,7384
47,44,93.617,46.452,1006
47,47,100.0,128.0,1152
42,42,100.0,0.0,0
37,37,100.0,0.0,0
49,49,100.0,0.0,0
50,47,94.0,36.0,756
43,43,100.0,240.0,1320
45,45,100.0,0.0,0
60,52,86.667,73.846,2178
42,42,100.0,0.0,0
47,47,100.0,0.0,0
52,52,100.0,0.0,0
52,52,100.0,48.0,240
39,39,100.0,0.0,0
49,49,100.0,0.0,0
46,37,80.435,139.355,2717
55,48,87.273,96.0,1968
46,44,95.652,25.946,493
35,35,100.0,0.0,0
46,46,100.0,0.0,0
55,55,100.0,0.0,0
31,31,100.0,0.0,0
47,47,100.0,0.0,0
43,43,100.0,0.0,0
50,45,90.0,68.571,1337
48,42,87.5,82.286,1646
51,50,98.039,13.714,240
46,46,100.0,0.0,0
46,44,95.652,32.0,496
44,44,100.0,0.0,0
60,50,83.333,120.253,2763
44,44,100.0,0.0,0
50,50,100.0,0.0,0
49,49,100.0,36.923,240
46,46,100.0,0.0,0
49,33,67.347,284.444,5973
51,51,100.0,0.0,0
37,37,100.0,0.0,0
63,63,100.0,280.0,2520
52,49,94.231,38.919,759
47,47,100.0,0.0,0
53,50,94.34,41.143,761
55,55,100.0,0.0,0
50,44,88.0,82.286,1646
48,48,100.0,280.0,2520
53,52,98.113,32.0,240
55,53,96.364,138.113,1329
49,46,93.878,37.895,758
41,41,100.0,0.0,0
51,40,78.431,170.323,3732
53,46,86.792,120.0,2500
55,49,89.091,72.954,1566
49,49,100.0,0.0,0
57,41,71.93,240.0,5640
39,39,100.0,0.0,0
63,57,90.476,50.526,1566
50,48,96.0,25.263,493
42,42,100.0,0.0,0
