Standard Deviation,Flow In,Flow Out,Efficiency,Longest Wait,Total Wait
0.0,50.0,50.0,86.0,150.0,1932.0
1.0,51.0,50.0,89.796,160.0,1520.0
2.0,54.0,51.0,84.314,137.143,2265.0
3.0,56.0,52.0,77.551,205.714,3394.0
4.0,57.0,54.0,80.0,280.0,3057.0
5.0,59.0,54.0,71.429,288.0,5000.0
6.0,62.0,56.0,68.333,360.0,7125.0
7.0,64.0,56.0,65.455,400.0,6172.0
8.0,66.0,59.0,56.364,526.667,9677.0
9.0,69.0,64.0,49.091,7680.0,61440.0
10.0,70.0,56.0,45.312,889.231,13737.0
11.0,72.0,60.0,35.0,5792.0,35312.0
12.0,77.0,57.0,31.481,5760.0,34560.0
13.0,78.0,60.0,38.889,5760.0,34560.0
14.0,82.0,67.0,25.581,4800.0,72480.0
15.0,79.0,61.0,22.222,10236.735,110856.0
16.0,81.0,60.0,30.159,8640.0,81696.0
17.0,85.0,63.0,21.154,18739.2,365530.0
18.0,85.0,61.0,22.0,12480.0,167160.0
19.0,94.0,68.0,5.172,10218.12,111550.0
20.0,98.0,65.0,15.789,13627.317,194725.0
21.0,91.0,63.0,3.226,14400.0,216000.0
22.0,96.0,60.0,12.281,21600.0,486000.0
23.0,113.0,67.0,2.222,21120.0,464640.0
24.0,100.0,67.0,2.0,23520.0,576240.0
25.0,102.0,67.0,1.961,24000.0,600000.0
26.0,133.0,70.0,1.695,27840.0,807360.0
27.0,103.0,66.0,1.449,32640.0,1109760.0
28.0,120.0,64.0,2.083,25920.0,700080.0
29.0,122.0,71.0,1.587,23520.0,576240.0
30.0,132.0,73.0,1.493,28320.0,835440.0
31.0,129.0,69.0,0.909,47520.0,2352240.0
32.0,116.0,74.0,1.389,28320.0,847509.0
33.0,118.0,67.0,1.124,32160.0,1077360.0
34.0,123.0,74.0,1.22,34080.0,1209840.0
35.0,132.0,74.0,1.163,35520.0,1314240.0
36.0,127.0,72.0,0.787,38400.0,1536000.0
37.0,140.0,62.0,1.136,41760.0,1816560.0
38.0,138.0,70.0,0.826,46560.0,2258160.0
39.0,124.0,75.0,0.885,53760.0,3010560.0
40.0,151.0,77.0,0.877,54240.0,3064560.0
41.0,149.0,77.0,0.98,48000.0,2400000.0
42.0,143.0,75.0,0.699,68160.0,4839360.0
43.0,134.0,73.0,0.893,53280.0,2957040.0
44.0,154.0,78.0,0.877,54240.0,3064560.0
45.0,147.0,81.0,0.833,51360.0,2747760.0
46.0,150.0,90.0,0.901,52800.0,2904000.0
47.0,154.0,84.0,0.885,44640.0,2075760.0
48.0,198.0,77.0,0.84,56640.0,3341760.0
49.0,163.0,80.0,0.775,61440.0,3932160.0
