Standard Deviation,Flow In,Flow Out,Efficiency,Longest Wait,Total Wait
0.0,50.0,49.432,98.864,9.424888,145.44
1.0,49.53,48.542,98.020512,15.25041,251.694
2.0,49.392,48.084,97.396728,18.254182,334.592
3.0,49.536,47.694,96.37915,25.03025,477.75
4.0,49.47,47.174,95.506382,32.427237999999996,607.538
5.0,49.33,46.636,94.812654,38.872486,727.594
6.0,49.642,46.322,93.69626600000001,45.95214,912.932
7.0,49.514,45.674,92.763964,57.542,1085.636
8.0,49.39,45.17,92.015326,66.459182,1244.146
9.0,50.148,44.406,89.37042800000002,88.655416,1730.902
10.0,49.456,43.826,89.603394,90.22845800000002,1731.848
11.0,49.194,42.988,88.59188,116.66423,2023.47
12.0,49.696,42.554,87.00406,173.56884200000002,2623.128
13.0,50.038,41.926,85.383186,200.45673200000002,3248.274
14.0,49.822,41.07,84.328008,201.84607,3306.722
15.0,50.264,40.658,83.04524,221.84211599999998,3895.26
16.0,49.794,40.038,82.58856200000001,271.50322400000005,4024.636
17.0,49.822,38.606,79.90193599999999,398.828502,5614.156
18.0,50.736,39.774,80.86296,352.39192799999995,4964.348
19.0,49.472,36.698,77.670884,405.78516599999995,7532.546
20.0,48.794,36.198,77.70576200000002,440.208504,6628.094
21.0,48.602,35.786,77.552474,521.712114,7687.328
22.0,50.634,36.928,76.726876,550.620048,8272.554
23.0,47.928,34.306,75.620618,661.991626,9099.426
24.0,49.392,33.556,72.55529,834.5018680000001,12116.854
25.0,50.234,33.22,70.59336400000001,819.5731119999999,12394.672
26.0,49.294,32.848,71.99410400000001,965.4459999999999,16589.81
27.0,49.272,31.414,69.76329999999999,1304.79296,22214.922
28.0,48.926,29.978,68.07695600000001,1642.686034,28126.592
29.0,50.414,29.71,65.08330199999999,1763.395824,30423.482
30.0,49.622,30.522,67.75313,1326.131968,21432.558
31.0,50.234,29.928,65.989522,1902.5220699999998,36331.094
32.0,48.972,28.588,66.12958799999998,1988.085028,36353.082
33.0,47.664,25.81,62.498808000000004,2104.91061,37066.662
34.0,49.792,26.758,61.898554000000004,2294.975772,47260.384
35.0,49.568,26.31,61.104996,2235.400126,42965.4
36.0,49.31,25.718,60.07112600000001,2465.03853,48445.018
37.0,49.568,25.348,59.968160000000005,2892.3651600000003,52968.376
38.0,50.4,25.792,58.972232000000005,3150.1163279999996,67045.048
39.0,49.836,25.118,60.012941999999995,3098.634954,71398.152
40.0,48.322,23.38,56.877068,3226.457594,63201.732
41.0,49.678,23.814,56.6686,3454.2609559999996,66445.32
42.0,50.246,23.674,56.997824,3696.7202740000002,74378.904
43.0,48.652,23.112,59.207746,3589.326908,79593.224
44.0,49.644,22.138,55.290914,3933.4252460000002,97382.772
45.0,48.768,21.054,54.625278,4359.879684,106009.404
46.0,54.894,21.416,49.24211999999999,5051.238791999999,133861.924
47.0,51.264,21.294,54.10551000000001,4616.09242,111350.892
48.0,49.33,19.46,51.373932,4984.6166840000005,117682.916
49.0,48.538,17.972,50.712816000000004,5007.457312,117934.058
