Flow In,Flow Out,Efficiency,Longest Wait,Total Wait
50,48,96.0,25.945945945945947,492.972972972973
47,39,82.97872340425532,106.66666666666673,2293.3333333333344
51,43,84.31372549019608,132.41379310344828,2903.4482758620697
51,51,100.0,0.0,0.0
52,49,94.23076923076923,37.89473684210528,757.8947368421057
45,45,100.0,0.0,0.0
44,44,100.0,96.0,528.0
48,48,100.0,0.0,0.0
54,54,100.0,0.0,0.0
54,54,100.0,192.0,1919.9999999999998
47,47,100.0,0.0,0.0
49,49,100.0,0.0,0.0
48,48,100.0,96.0,528.0
58,51,87.93103448275862,88.42105263157899,1945.2631578947378
57,47,82.45614035087719,129.72972972972974,2983.783783783784
44,42,95.45454545454545,30.000000000000014,495.0000000000002
51,45,88.23529411764706,92.9032258064516,1672.2580645161293
42,42,100.0,0.0,0.0
54,54,100.0,96.0,528.0
51,51,100.0,40.00000000000004,240.00000000000028
49,34,69.38775510204081,313.04347826086956,5791.304347826087
42,42,100.0,0.0,0.0
48,42,87.5,92.9032258064516,1672.2580645161293
43,43,100.0,0.0,0.0
43,41,95.34883720930233,30.9677419354839,495.48387096774246
42,40,95.23809523809523,29.0909090909091,494.54545454545473
45,45,100.0,36.92307692307689,239.9999999999998
50,50,100.0,68.57142857142856,514.2857142857142
47,47,100.0,0.0,0.0
47,47,100.0,0.0,0.0
58,58,100.0,0.0,0.0
45,45,100.0,0.0,0.0
51,51,100.0,64.00000000000001,512.0000000000001
44,44,100.0,0.0,0.0
42,42,100.0,0.0,0.0
42,42,100.0,0.0,0.0
45,45,100.0,0.0,0.0
54,47,87.03703703703704,98.8235294117647,1976.470588235294
44,44,100.0,0.0,0.0
52,52,100.0,0.0,0.0
54,51,94.44444444444444,30.000000000000014,733.7142857142849
51,51,100.0,87.27272727272728,523.6363636363636
48,35,72.91666666666666,222.85714285714283,4457.142857142857
48,48,100.0,0.0,0.0
56,44,78.57142857142857,125.60427807486627,3095.2085561497324
54,53,98.14814814814815,12.307692307692335,240.0000000000005
50,50,100.0,0.0,0.0
49,49,100.0,0.0,0.0
47,47,100.0,0.0,0.0
47,41,87.2340425531915,82.28571428571426,1645.7142857142853
52,48,92.3076923076923,49.23076923076925,1033.846153846154
48,48,100.0,0.0,0.0
47,42,89.36170212765957,77.41935483870967,1354.838709677419
51,51,100.0,0.0,0.0
48,48,100.0,0.0,0.0
51,47,92.15686274509804,59.99999999999998,1049.9999999999998
54,46,85.18518518518519,88.235294117647,2084.117647058822
48,48,100.0,0.0,0.0
46,43,93.47826086956522,46.451612903225836,766.4516129032262
52,52,100.0,0.0,0.0
53,41,77.35849056603774,140.4878048780488,3652.6829268292686
48,48,100.0,0.0,0.0
57,50,87.71929824561403,83.99999999999997,1931.9999999999995
54,42,77.77777777777779,164.5714285714285,3785.142857142856
47,45,95.74468085106383,28.235294117647022,494.1176470588228
42,42,100.0,0.0,0.0
49,40,81.63265306122449,148.96551724137936,2755.862068965518
50,50,100.0,0.0,0.0
56,56,100.0,102.85714285714286,822.8571428571429
50,50,100.0,0.0,0.0
48,48,100.0,36.92307692307689,239.9999999999998
57,53,92.98245614035088,48.000000000000036,1032.0000000000007
47,47,100.0,0.0,0.0
52,52,100.0,320.00000000000006,2240.0
43,43,100.0,0.0,0.0
48,48,100.0,0.0,0.0
45,43,95.55555555555556,30.000000000000014,495.0000000000002
49,48,97.95918367346938,32.0,240.0
55,53,96.36363636363636,24.615384615384656,492.30769230769306
47,47,100.0,0.0,0.0
51,50,98.0392156862745,12.00000000000001,240.00000000000023
51,51,100.0,0.0,0.0
57,56,98.24561403508771,10.9090909090909,239.99999999999983
48,45,93.75,43.6363636363636,763.636363636363
52,50,96.15384615384616,25.26315789473685,492.63157894736855
55,40,72.72727272727273,240.00000000000003,5280.0
41,41,100.0,0.0,0.0
52,44,84.61538461538461,132.41379310344828,2383.4482758620697
48,48,100.0,0.0,0.0
45,45,100.0,0.0,0.0
54,54,100.0,0.0,0.0
46,46,100.0,0.0,0.0
50,50,100.0,36.92307692307689,239.9999999999998
51,51,100.0,320.00000000000006,2240.0
59,59,100.0,80.00000000000001,520.0000000000001
52,44,84.61538461538461,87.27272727272728,2225.4545454545455
43,43,100.0,0.0,0.0
54,42,77.77777777777779,160.00000000000003,3760.0
51,50,98.0392156862745,12.00000000000001,240.00000000000023
50,49,98.0,48.000000000000036,479.9999999999998
