Flow In,Flow Out,Efficiency,Longest Wait,Total Wait
53,48,90.566,53.415,1242
54,52,96.296,18.462,489
49,49,100.0,0.0,0
44,42,95.455,80.0,520
53,52,98.113,9.231,240
50,43,86.0,101.163,1905
42,42,100.0,0.0,0
46,46,100.0,0.0,0
43,43,100.0,0.0,0
51,50,98.039,40.0,240
49,49,100.0,0.0,0
45,45,100.0,0.0,0
48,48,100.0,0.0,0
49,49,100.0,0.0,0
46,45,97.826,12.308,240
54,47,87.037,336.0,2688
53,53,100.0,0.0,0
61,54,88.525,73.592,1801
49,48,97.959,28.235,240
43,43,100.0,0.0,0
50,50,100.0,0.0,0
44,44,100.0,0.0,0
51,45,88.235,195.879,1712
46,44,95.652,25.263,493
50,50,100.0,0.0,0
54,51,94.444,28.235,748
45,45,100.0,0.0,0
47,42,89.362,57.143,1314
51,48,94.118,30.0,750
49,48,97.959,10.0,240
56,50,89.286,77.838,1635
48,48,100.0,0.0,0
50,44,88.0,240.0,2040
40,40,100.0,0.0,0
50,50,100.0,0.0,0
51,45,88.235,65.641,1547
51,45,88.235,90.0,1665
47,42,89.362,64.865,1330
51,49,96.078,25.946,493
53,53,100.0,0.0,0
45,37,82.222,256.0,2816
47,47,100.0,0.0,0
40,40,100.0,0.0,0
49,49,100.0,0.0,0
51,51,100.0,0.0,0
52,44,84.615,87.273,2225
45,45,100.0,0.0,0
48,48,100.0,0.0,0
47,47,100.0,0.0,0
51,47,92.157,40.851,1021
51,37,72.549,203.676,4216
45,45,100.0,0.0,0
53,47,88.679,80.0,1562
49,47,95.918,26.667,493
49,45,91.837,42.667,1024
51,47,92.157,40.851,1021
53,50,94.34,28.8,749
53,49,92.453,51.892,1038
52,48,92.308,49.231,1034
51,41,80.392,137.143,3017
49,48,97.959,53.333,240
47,47,100.0,0.0,0
55,54,98.182,8.889,240
55,50,90.909,54.063,1241
51,46,90.196,68.571,1337
48,47,97.917,13.333,240
52,46,88.462,77.838,1635
52,50,96.154,21.6,480
49,49,100.0,0.0,0
48,48,100.0,0.0,0
47,47,100.0,0.0,0
48,44,91.667,45.359,993
54,46,85.185,101.246,2192
50,46,92.0,41.739,1023
47,47,100.0,0.0,0
54,49,90.741,48.98,1298
44,43,97.727,14.118,240
51,48,94.118,30.0,750
54,43,79.63,142.703,3354
41,41,100.0,0.0,0
53,46,86.792,336.0,2688
56,47,83.929,91.915,2528
47,47,100.0,0.0,0
44,44,100.0,0.0,0
45,45,100.0,0.0,0
49,47,95.918,20.426,490
49,43,87.755,66.977,1607
55,51,92.727,44.534,995
44,44,100.0,0.0,0
45,45,100.0,0.0,0
45,45,100.0,0.0,0
49,49,100.0,0.0,0
58,53,91.379,60.0,1320
47,43,91.489,44.651,1027
46,45,97.826,12.632,240
46,46,100.0,0.0,0
45,45,100.0,0.0,0
47,47,100.0,0.0,0
44,44,100.0,0.0,0
46,44,95.652,29.091,495
52,51,98.077,12.308,240
44,44,100.0,0.0,0
48,44,91.667,128.0,1152
49,48,97.959,12.0,240
55,43,78.182,160.0,3760
39,39,100.0,0.0,0
49,49,100.0,0.0,0
48,48,100.0,0.0,0
57,47,82.456,168.571,2777
45,45,100.0,0.0,0
53,48,90.566,122.857,1313
57,50,87.719,75.323,1775
53,50,94.34,37.895,758
46,46,100.0,0.0,0
43,43,100.0,0.0,0
46,44,95.652,56.471,508
49,46,93.878,64.506,730
50,50,100.0,0.0,0
53,49,92.453,39.184,1019
51,47,92.157,56.471,1045
50,50,100.0,0.0,0
53,45,84.906,116.364,2327
56,50,89.286,102.4,1530
52,52,100.0,0.0,0
49,48,97.959,40.0,240
46,46,100.0,0.0,0
48,42,87.5,68.571,1611
51,46,90.196,85.714,1371
48,48,100.0,0.0,0
48,48,100.0,0.0,0
50,45,90.0,53.333,1307
45,45,100.0,0.0,0
43,43,100.0,0.0,0
48,47,97.917,30.0,240
44,44,100.0,0.0,0
52,42,80.769,118.919,2679
61,51,83.607,121.684,2855
49,45,91.837,54.857,1042
50,48,96.0,25.263,493
49,48,97.959,12.632,240
51,48,94.118,30.0,750
53,49,92.453,50.526,1036
50,43,86.0,78.14,1914
52,46,88.462,261.818,2095
46,46,100.0,0.0,0
49,49,100.0,0.0,0
56,50,89.286,75.789,1629
52,49,94.231,32.223,730
44,39,88.636,266.667,1733
52,52,100.0,0.0,0
52,42,80.769,120.301,2641
53,47,88.679,180.0,1890
43,42,97.674,43.636,240
50,47,94.0,36.159,733
51,51,100.0,0.0,0
51,49,96.078,27.429,494
56,46,82.143,147.692,2840
49,47,95.918,25.946,493
47,46,97.872,10.435,240
50,43,86.0,206.941,2060
55,55,100.0,0.0,0
50,46,92.0,192.0,1248
50,50,100.0,0.0,0
50,47,94.0,30.638,751
53,48,90.566,63.158,1326
46,46,100.0,0.0,0
50,44,88.0,66.545,1549
47,47,100.0,0.0,0
48,47,97.917,10.213,240
47,47,100.0,0.0,0
42,42,100.0,0.0,0
44,44,100.0,0.0,0
48,40,83.333,120.0,2340
54,52,96.296,24.0,492
50,48,96.0,20.0,490
48,47,97.917,10.213,240
50,41,82.0,104.808,2417
50,50,100.0,0.0,0
53,49,92.453,47.691,998
55,48,87.273,70.909,1830
46,46,100.0,0.0,0
50,48,96.0,20.0,490
52,49,94.231,102.857,823
50,49,98.0,12.632,240
52,49,94.231,29.388,749
55,45,81.818,112.0,2632
52,50,96.154,19.2,490
54,53,98.148,11.429,240
53,48,90.566,50.0,1300
45,45,100.0,0.0,0
42,42,100.0,0.0,0
52,51,98.077,40.0,240
42,42,100.0,0.0,0
53,46,86.792,84.0,1932
49,43,87.755,82.286,1646
47,47,100.0,0.0,0
49,46,93.878,90.0,810
51,47,92.157,40.851,1021
47,45,95.745,26.667,493
49,48,97.959,10.0,240
51,47,92.157,40.851,1021
46,46,100.0,0.0,0
54,50,92.593,49.231,1034
55,43,78.182,138.14,3234
47,47,100.0,0.0,0
45,45,100.0,0.0,0
52,52,100.0,0.0,0
47,46,97.872,12.0,240
48,48,100.0,0.0,0
53,51,96.226,20.84,480
53,47,88.679,61.277,1593
47,43,91.489,44.651,1027
50,50,100.0,0.0,0
47,45,95.745,21.333,491
53,46,86.792,108.387,2005
49,48,97.959,10.0,240
56,50,89.286,73.846,1625
55,53,96.364,60.0,510
53,47,88.679,100.851,1531
52,44,84.615,109.714,2304
50,48,96.0,25.263,493
47,47,100.0,0.0,0
50,41,82.0,139.355,2717
42,42,100.0,0.0,0
48,43,89.583,76.651,1267
43,43,100.0,0.0,0
49,47,95.918,20.426,490
46,45,97.826,10.667,240
48,44,91.667,213.333,1280
52,44,84.615,87.273,2225
46,46,100.0,0.0,0
49,46,93.878,31.304,751
47,47,100.0,0.0,0
50,47,94.0,37.895,758
51,45,88.235,80.0,1640
52,49,94.231,32.223,730
52,47,90.385,64.865,1330
49,49,100.0,0.0,0
50,50,100.0,0.0,0
54,45,83.333,103.86,2342
46,42,91.304,160.0,1200
52,40,76.923,192.0,3616
55,46,83.636,218.182,2679
49,47,95.918,20.426,490
44,44,100.0,0.0,0
43,43,100.0,0.0,0
47,47,100.0,0.0,0
41,41,100.0,0.0,0
49,49,100.0,0.0,0
53,49,92.453,160.0,1200
49,46,93.878,110.769,831
52,48,92.308,40.0,1020
60,54,90.0,218.182,1876
41,41,100.0,0.0,0
47,46,97.872,12.973,240
55,47,85.455,112.941,2315
50,47,94.0,41.143,761
44,44,100.0,0.0,0
51,50,98.039,36.923,240
55,47,85.455,101.053,2274
49,44,89.796,141.818,1331
54,50,92.593,106.473,1013
48,48,100.0,0.0,0
57,40,70.175,206.526,5092
51,43,84.314,96.0,2197
48,45,93.75,32.0,752
51,43,84.314,349.091,3142
54,47,87.037,71.489,1894
60,46,76.667,166.689,4068
42,42,100.0,0.0,0
44,44,100.0,0.0,0
54,48,88.889,80.0,1640
47,40,85.106,274.286,2135
54,46,85.185,112.941,2315
45,45,100.0,0.0,0
52,50,96.154,21.6,480
45,44,97.778,10.909,240
52,50,96.154,43.636,480
48,44,91.667,43.636,1025
46,46,100.0,0.0,0
49,43,87.755,82.286,1646
47,47,100.0,0.0,0
53,49,92.453,40.297,989
45,45,100.0,0.0,0
44,44,100.0,0.0,0
57,50,87.719,66.171,1824
50,48,96.0,20.0,490
50,49,98.0,9.796,240
54,47,87.037,82.53,1788
47,45,95.745,21.333,491
47,46,97.872,10.435,240
52,46,88.462,80.0,1565
49,46,93.878,43.636,764
45,44,97.778,40.0,240
49,49,100.0,0.0,0
46,46,100.0,0.0,0
52,43,82.692,158.14,2434
47,42,89.362,240.0,1560
48,48,100.0,0.0,0
46,46,100.0,0.0,0
46,43,93.478,40.0,760
51,46,90.196,200.0,1600
57,48,84.211,110.769,2603
53,53,100.0,0.0,0
63,53,84.127,90.566,2808
48,46,95.833,23.768,480
46,37,80.435,360.0,3600
51,43,84.314,91.113,2154
50,50,100.0,0.0,0
58,45,77.586,226.909,3635
53,49,92.453,174.545,1222
55,52,94.545,35.177,733
57,47,82.456,120.982,2843
48,46,95.833,24.615,492
43,43,100.0,0.0,0
48,43,89.583,72.727,1345
49,47,95.918,20.426,490
53,49,92.453,50.526,1036
46,44,95.652,30.968,495
56,52,92.857,50.526,1036
50,42,84.0,91.429,2240
48,48,100.0,0.0,0
47,46,97.872,40.0,240
55,50,90.909,48.0,1296
44,44,100.0,0.0,0
