Standard Deviation,Flow In,Flow Out,Efficiency,Longest Wait,Total Wait
0.0,50.0,50.0,86.0,180.0,1932.0
1.0,52.0,50.0,88.0,160.0,1625.0
2.0,54.0,51.0,83.673,160.0,2283.0
3.0,55.0,52.0,82.353,205.714,2668.0
4.0,59.0,53.0,79.63,261.818,3214.0
5.0,58.0,55.0,72.222,369.231,5127.0
6.0,61.0,57.0,71.698,288.0,5486.0
7.0,66.0,57.0,48.333,528.0,12577.0
8.0,67.0,57.0,59.701,600.0,8645.0
9.0,68.0,60.0,55.769,701.714,12501.0
10.0,71.0,59.0,45.0,1200.0,16227.0
11.0,72.0,58.0,51.064,6720.0,47040.0
12.0,71.0,58.0,34.426,5280.0,30076.0
13.0,77.0,59.0,36.486,6240.0,46746.0
14.0,80.0,59.0,33.898,3840.0,18816.0
15.0,80.0,60.0,15.714,7680.0,61440.0
16.0,89.0,67.0,21.739,6720.0,47040.0
17.0,88.0,64.0,24.444,8640.0,160969.0
18.0,92.0,64.0,18.421,6355.862,84480.0
19.0,97.0,62.0,11.864,8760.0,80100.0
20.0,89.0,64.0,12.0,25440.0,674160.0
21.0,91.0,61.0,9.459,8737.5,157680.0
22.0,93.0,77.0,6.25,16320.0,277440.0
23.0,99.0,65.0,1.235,20160.0,423360.0
24.0,99.0,71.0,5.357,8640.0,164637.0
25.0,101.0,64.0,2.174,21600.0,486000.0
26.0,103.0,71.0,1.695,27840.0,807360.0
27.0,106.0,68.0,2.083,22560.0,530160.0
28.0,112.0,70.0,4.167,18862.222,369947.0
29.0,113.0,68.0,1.031,35040.0,1278960.0
30.0,123.0,66.0,1.205,39360.0,1613760.0
31.0,114.0,77.0,1.587,26880.0,752640.0
32.0,113.0,76.0,1.429,28800.0,864000.0
33.0,125.0,68.0,1.087,43680.0,1987440.0
34.0,124.0,83.0,0.962,34080.0,1209840.0
35.0,117.0,73.0,0.901,52800.0,2904000.0
36.0,126.0,75.0,0.862,55200.0,3174000.0
37.0,119.0,77.0,1.235,34140.0,1212240.0
38.0,118.0,81.0,1.176,40320.0,1693440.0
39.0,122.0,78.0,0.847,52320.0,2851440.0
40.0,128.0,70.0,0.926,49920.0,2595840.0
41.0,125.0,71.0,0.826,36255.789,1353631.0
42.0,136.0,73.0,0.741,42720.0,1803840.0
43.0,145.0,78.0,0.943,50400.0,2646000.0
44.0,136.0,62.0,0.794,40800.0,1734000.0
45.0,146.0,68.0,0.962,43280.672,1949566.0
46.0,164.0,87.0,0.943,45120.0,2226480.0
47.0,143.0,79.0,0.806,43200.0,1754400.0
48.0,143.0,71.0,0.775,60000.0,3750000.0
49.0,157.0,83.0,0.847,53280.0,2957040.0
