Standard Deviation,Flow In,Flow Out,Efficiency,Longest Wait,Total Wait
0.0,50.0,49.432,98.864,8.616,144.492
1.0,49.496,48.564,98.132852,14.192528,234.478
2.0,49.522,48.134,97.243106,19.760396,352.306
3.0,49.548,47.724,96.41292600000001,26.565306,474.21
4.0,49.344,47.214,95.84900599999999,30.489026,562.244
5.0,49.624,46.922,94.80675,40.39967,733.746
6.0,49.56,46.202,93.57378999999999,50.418578000000004,927.288
7.0,49.248,45.174,92.234854,64.21933,1162.054
8.0,49.258,44.834,91.69859,65.604228,1272.348
9.0,49.84,44.478,90.04981,86.88108600000001,1593.798
10.0,49.338,43.54,89.256462,104.88633999999999,1836.398
11.0,49.168,42.714,88.091918,152.181828,2266.614
12.0,49.864,42.55,86.598704,148.142326,2534.362
13.0,49.618,41.648,85.653454,170.53539999999998,2833.836
14.0,50.052,41.134,84.081582,180.14773399999999,3160.544
15.0,50.422,40.43,82.371822,258.86492,4005.226
16.0,48.58,39.268,83.21299400000001,270.414134,3903.568
17.0,49.736,38.938,81.09589600000001,330.28839,5121.408
18.0,49.772,38.534,80.24511,389.399668,5165.05
19.0,50.254,37.252,77.12445999999998,438.656364,6344.414
20.0,50.242,36.376,76.043588,532.681738,8473.126
21.0,49.286,36.024,77.082678,543.590512,7663.112
22.0,49.434,35.624,75.969218,625.069314,8708.432
23.0,49.86,34.224,73.52972,798.703588,12286.132
24.0,49.8,34.188,72.99745599999999,700.903146,9763.8
25.0,48.744,33.136,72.63515400000001,1038.265264,16530.342
26.0,49.382,32.214,70.44889,1188.106038,18929.982
27.0,50.11,32.53,70.36797600000001,1084.8122779999999,17839.86
28.0,48.13,31.912,72.299472,1144.614144,15855.904
29.0,50.54,29.628,65.311466,1945.601938,35309.604
30.0,48.62,29.272,66.719268,1470.99431,24944.892
31.0,48.442,27.696,64.556302,1907.123648,31442.798
32.0,48.578,29.186,66.82416,1744.5045920000002,27184.782
33.0,49.608,27.834,62.826092,2017.3328560000002,35222.57
34.0,48.26,26.268,62.516926,2487.27521,45066.018
35.0,51.638,27.694,61.55673600000001,2533.966394,55584.508
36.0,50.334,25.57,59.029034,2778.639588,55987.522
37.0,49.79,24.7,59.309126000000006,2842.1028480000004,52295.282
38.0,50.158,24.256,58.3717,3742.88004,79439.476
39.0,51.126,25.414,58.11434,3284.431928,68796.25
40.0,50.37,24.324,58.248044,3765.8916639999998,80514.24
41.0,51.306,22.722,53.96261,4290.97432,85749.598
42.0,49.376,22.382,55.129652,3961.23892,77560.218
43.0,47.754,20.94,55.00739,3974.448444,84582.646
44.0,50.496,21.908,53.911108000000006,4735.27417,105347.402
45.0,49.056,21.544,54.624964,4206.2333,90822.184
46.0,48.27,20.634,55.355742,4760.17455,105832.354
47.0,50.508,20.228,51.09527800000001,5143.796964,114091.036
48.0,50.002,19.376,51.370022,5307.72326,124840.594
49.0,50.624,19.854,51.932746,5216.074126,127686.298
